Year,Value,
2006,7.43678E+12,
2007,9.36621E+12,
2008,1.16452E+13,
2009,1.12582E+13,
2010,1.35137E+13,
2011,1.648E+13,
2012,1.76317E+13,
2013,1.90143E+13,
2014,1.97031E+13,
2015,1.84565E+13,
2016,1.84551E+13,
1960,81231814846,
1961,86287335349,
1962,99366717908,
1963,99955845906,
1964,1.11011E+11,
1965,1.19372E+11,
1966,1.31019E+11,
1967,1.34187E+11,
1968,1.4451E+11,
1969,1.61958E+11,
1970,1.76072E+11,
1971,1.96969E+11,
1972,2.21446E+11,
1973,2.89954E+11,
1974,3.76428E+11,
1975,3.94878E+11,
1976,4.3901E+11,
1977,4.83105E+11,
1978,5.48082E+11,
1979,6.53362E+11,
1980,7.74611E+11,
1981,8.92197E+11,
1982,8.3425E+11,
1983,7.40171E+11,
1984,7.29654E+11,
1985,7.51413E+11,
1986,7.64534E+11,
1987,8.03852E+11,
1988,9.19123E+11,
1989,1.0064E+12,
1990,1.1705E+12,
1991,1.44016E+12,
1992,1.3584E+12,
1993,1.56494E+12,
1994,1.79715E+12,
1995,1.9161E+12,
1996,2.06074E+12,
1997,2.25538E+12,
1998,2.27173E+12,
1999,2.05079E+12,
2000,2.26209E+12,
2001,2.20482E+12,
2002,1.9768E+12,
2003,2.0353E+12,
2004,2.35066E+12,
2005,2.84551E+12,
2006,3.33724E+12,
2007,3.93635E+12,
2008,4.57603E+12,
2009,4.30216E+12,
2010,5.33453E+12,
2011,6.06428E+12,
2012,6.12121E+12,
2013,6.27299E+12,
2014,6.39155E+12,
2015,5.45921E+12,
2016,5.29987E+12,
1960,73257271838,
1961,76976526265,
1962,88753234542,
1963,88910024330,
1964,98849108077,
1965,1.06853E+11,
1966,1.17137E+11,
1967,1.2008E+11,
1968,1.297E+11,
1969,1.44755E+11,
1970,1.57276E+11,
1971,1.7487E+11,
1972,1.97935E+11,
1973,2.58307E+11,
1974,3.43442E+11,
1975,3.70095E+11,
1976,4.10244E+11,
1977,4.48352E+11,
1978,5.08329E+11,
1979,6.01945E+11,
1980,7.08705E+11,
1981,8.16874E+11,
1982,7.68136E+11,
1983,6.83173E+11,
1984,6.71392E+11,
1985,6.9402E+11,
1986,7.05374E+11,
1987,7.37306E+11,
1988,8.45148E+11,
1989,9.25575E+11,
1990,1.08135E+12,
1991,1.34159E+12,
1992,1.24773E+12,
1993,1.44629E+12,
1994,1.6639E+12,
1995,1.76054E+12,
1996,1.89525E+12,
1997,2.07427E+12,
1998,2.08541E+12,
1999,1.86764E+12,
2000,2.07077E+12,
2001,2.01363E+12,
2002,1.79136E+12,
2003,1.83944E+12,
2004,2.12146E+12,
2005,2.57973E+12,
2006,3.02971E+12,
2007,3.59814E+12,
2008,4.21348E+12,
2009,3.95316E+12,
2010,4.92361E+12,
2011,5.60504E+12,
2012,5.63993E+12,
2013,5.77141E+12,
2014,5.90552E+12,
2015,5.01259E+12,
2016,4.85304E+12,
1960,76340051020,
1961,80983672522,
1962,93332172395,
1963,93626166816,
1964,1.03992E+11,
1965,1.11682E+11,
1966,1.2255E+11,
1967,1.25155E+11,
1968,1.34571E+11,
1969,1.5073E+11,
1970,1.63725E+11,
1971,1.82611E+11,
1972,2.04997E+11,
1973,2.70526E+11,
1974,3.54486E+11,
1975,3.70739E+11,
1976,4.13041E+11,
1977,4.55476E+11,
1978,5.15069E+11,
1979,6.1612E+11,
1980,7.34465E+11,
1981,8.49556E+11,
1982,7.90097E+11,
1983,6.94446E+11,
1984,6.79866E+11,
1985,7.0123E+11,
1986,7.11095E+11,
1987,7.46969E+11,
1988,8.56981E+11,
1989,9.4181E+11,
1990,1.10084E+12,
1991,1.37232E+12,
1992,1.29065E+12,
1993,1.49368E+12,
1994,1.71575E+12,
1995,1.82906E+12,
1996,1.9755E+12,
1997,2.1646E+12,
1998,2.17378E+12,
1999,1.94639E+12,
2000,2.1503E+12,
2001,2.08391E+12,
2002,1.85142E+12,
2003,1.90385E+12,
2004,2.21086E+12,
2005,2.69496E+12,
